leadid,subject,firstname,lastname,jobtitle,companyname,emailaddress1,telephone1,leadsourcecode,revenue,leadqualitycode,cr487_organizationtype,createdon,modifiedon,industrycode,numberofemployees,action_sequence,activities,last_action_date,statuscode,days_in_pipeline,days_since_last_action
LEAD-0115,Lead from ConsultGroup,Lisa,Martinez,CEO,ConsultGroup,rachel.martinez@company.com,+1-555-3328,10,477574,1,profit,10/21/2025 10:09,11/04/2025 20:09,7,2500,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,50,36
LEAD-0116,Lead from FinancePlus,Lisa,Smith,CEO,FinancePlus,rachel.williams@company.com,+1-555-2817,9,362032,1,nonprofit,10/17/2025 10:09,10/31/2025 16:09,12,25,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,54,40
LEAD-0117,Lead from ManuFact,Mike,Williams,CEO,GlobalTrade,tom.martinez@company.com,+1-555-1530,3,407406,2,profit,10/28/2025 10:09,12/12/2025 15:09,11,10000,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,43,-2
LEAD-0118,Lead from ConsultGroup,David,Johnson,CEO,TechCorp,tom.davis@company.com,+1-555-7875,3,496511,1,nonprofit,11/06/2025 10:09,11/24/2025 12:09,14,2500,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,34,16
LEAD-0119,Lead from HealthInc,Lisa,Williams,Director of Operations,FinancePlus,jane.rodriguez@company.com,+1-555-2525,6,384146,2,profit,10/27/2025 10:09,11/28/2025 12:09,16,10,"['download_email_received','send_introduction_email','license_extension_request_inbound_email','send_license_extension_steps_email','user_count_and_pricing_inbound_email','send_pricing_clarification_email','tool_issue_inbound_email','send_followup_for_clarification_email','issue_screenshot_inbound_email','send_latest_solution_and_tool_email','support_call_request_inbound_email','support_call','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,11,19,12,19,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,19,8,30,0)},{'type':'license_extension_request_inbound_email','timestamp':datetime.datetime(2025,11,19,13,3,0)},{'type':'send_license_extension_steps_email','timestamp':datetime.datetime(2025,11,19,9,48,0)},{'type':'user_count_and_pricing_inbound_email','timestamp':datetime.datetime(2025,11,20,23,9,0)},{'type':'send_pricing_clarification_email','timestamp':datetime.datetime(2025,11,21,10,55,0)},{'type':'tool_issue_inbound_email','timestamp':datetime.datetime(2025,11,22,20,50,0)},{'type':'send_followup_for_clarification_email','timestamp':datetime.datetime(2025,11,24,12,14,0)},{'type':'issue_screenshot_inbound_email','timestamp':datetime.datetime(2025,11,24,14,1,0)},{'type':'send_latest_solution_and_tool_email','timestamp':datetime.datetime(2025,11,24,19,1,0)},{'type':'support_call_request_inbound_email','timestamp':datetime.datetime(2025,11,24,18,49,0)},{'type':'support_call','timestamp':datetime.datetime(2025,11,25,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,12,17,8,0)}]",12/12/2025 17:08,1,44,12
LEAD-0120,Lead from DataSystems,Rachel,Rodriguez,Sales Director,FinancePlus,john.garcia@company.com,+1-555-1062,7,286506,2,nonprofit,10/24/2025 10:09,11/22/2025 11:09,3,250,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,47,18
LEAD-0121,Lead from HealthInc,Alex,Miller,VP Sales,ConsultGroup,tom.garcia@company.com,+1-555-4056,8,451830,1,profit,10/11/2025 10:09,10/28/2025 15:09,2,250,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,60,43
LEAD-0122,Lead from InnovateLabs,Emma,Martinez,Marketing Manager,CloudServices,david.johnson@company.com,+1-555-7468,1,443824,1,nonprofit,10/23/2025 10:09,11/10/2025 17:09,17,10000,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,48,30
LEAD-0123,Lead from ConsultGroup,Jane,Johnson,Director of Operations,InnovateLabs,tom.rodriguez@company.com,+1-555-6343,5,499622,2,profit,10/18/2025 10:09,11/23/2025 15:09,17,2500,"['download_email_received','send_introduction_email','demo_request_inbound_email','demo_call','send_pricing_and_licensing_details_email','detailed_demo_request_inbound_email','demo_call','configuration_call','send_followup_email','quote_request_for_licenses_inbound_email','send_quote_response_email','send_followup_email','order_confirmation_inbound_email','send_invoice_email','revised_invoice_request_inbound_email','send_revised_invoice_and_raise_billable_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,27,18,12,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,28,11,51,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,28,16,55,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,10,30,17,30,0)},{'type':'send_pricing_and_licensing_details_email','timestamp':datetime.datetime(2025,11,3,7,56,0)},{'type':'detailed_demo_request_inbound_email','timestamp':datetime.datetime(2025,11,4,18,12,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,11,6,17,30,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,11,7,16,30,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,24,12,11,0)},{'type':'quote_request_for_licenses_inbound_email','timestamp':datetime.datetime(2025,11,28,6,19,0)},{'type':'send_quote_response_email','timestamp':datetime.datetime(2025,11,28,20,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,12,4,9,45,0)},{'type':'order_confirmation_inbound_email','timestamp':datetime.datetime(2025,12,10,15,11,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,11,5,26,0)},{'type':'revised_invoice_request_inbound_email','timestamp':datetime.datetime(2025,12,16,15,15,0)},{'type':'send_revised_invoice_and_raise_billable_email','timestamp':datetime.datetime(2025,12,16,18,40,0)}]",12/16/2025 18:40,1,53,17
LEAD-0124,Lead from CloudServices,John,Williams,Operations Manager,DataSystems,mike.martinez@company.com,+1-555-7581,1,473972,1,nonprofit,11/20/2025 10:09,12/10/2025 20:09,13,500,"['pricing_details_request_inbound_email','send_pricing_details_email','send_followup_email','query_inbound_email','send_query_response_email','demo_request_inbound_email','demo_and_configuration_call','send_invoice_email','send_billable_raised_email']","[{'type':'pricing_details_request_inbound_email','timestamp':datetime.datetime(2025,10,9,21,53,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,13,14,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,10,15,9,1,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,24,1,35,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,24,2,47,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,25,1,6,0)},{'type':'demo_and_configuration_call','timestamp':datetime.datetime(2025,10,29,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,10,31,5,46,0)},{'type':'send_billable_raised_email','timestamp':datetime.datetime(2025,11,6,11,11,0)}]",11/6/2025 23:11,1,20,0
LEAD-0125,Lead from HealthInc,Sarah,Davis,Marketing Manager,DataSystems,emma.rodriguez@company.com,+1-555-7126,1,225842,2,profit,11/05/2025 10:09,12/17/2025 20:09,17,50,"['download_email_received','send_introduction_email','license_extension_request_inbound_email','send_license_extension_steps_email','user_count_and_pricing_inbound_email','send_pricing_clarification_email','tool_issue_inbound_email','send_followup_for_clarification_email','issue_screenshot_inbound_email','send_latest_solution_and_tool_email','support_call_request_inbound_email','support_call','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,11,19,12,19,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,19,8,30,0)},{'type':'license_extension_request_inbound_email','timestamp':datetime.datetime(2025,11,19,13,3,0)},{'type':'send_license_extension_steps_email','timestamp':datetime.datetime(2025,11,19,9,48,0)},{'type':'user_count_and_pricing_inbound_email','timestamp':datetime.datetime(2025,11,20,23,9,0)},{'type':'send_pricing_clarification_email','timestamp':datetime.datetime(2025,11,21,10,55,0)},{'type':'tool_issue_inbound_email','timestamp':datetime.datetime(2025,11,22,20,50,0)},{'type':'send_followup_for_clarification_email','timestamp':datetime.datetime(2025,11,24,12,14,0)},{'type':'issue_screenshot_inbound_email','timestamp':datetime.datetime(2025,11,24,14,1,0)},{'type':'send_latest_solution_and_tool_email','timestamp':datetime.datetime(2025,11,24,19,1,0)},{'type':'support_call_request_inbound_email','timestamp':datetime.datetime(2025,11,24,18,49,0)},{'type':'support_call','timestamp':datetime.datetime(2025,11,25,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,12,17,8,0)}]",12/12/2025 17:08,1,35,-7
LEAD-0126,Lead from CloudServices,Alex,Miller,CTO,TechCorp,sarah.garcia@company.com,+1-555-9008,10,363118,2,nonprofit,11/16/2025 10:09,12/16/2025 16:09,15,50,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,24,-6
LEAD-0127,Lead from ManuFact,Tom,Rodriguez,CEO,TechCorp,emma.williams@company.com,+1-555-3837,10,489057,1,profit,10/21/2025 10:09,11/12/2025 14:09,1,100,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,50,28
LEAD-0128,Lead from GlobalTrade,Rachel,Jones,Operations Manager,HealthInc,emma.johnson@company.com,+1-555-6509,5,360148,2,nonprofit,11/04/2025 10:09,12/15/2025 19:09,11,250,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,36,-5
LEAD-0129,Lead from GlobalTrade,Sarah,Garcia,Marketing Manager,InnovateLabs,emma.garcia@company.com,+1-555-9311,5,356652,1,profit,11/04/2025 10:09,11/26/2025 20:09,6,5000,"['pricing_request_inbound_email','send_pricing_and_introduction_call_email','query_inbound_email','send_proposed_call_for_query_email','available_timeslots_inbound_email','send_meeting_invite_email','introduction_meeting','send_other_product_details_email','send_order_form_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'pricing_request_inbound_email','timestamp':datetime.datetime(2025,10,16,18,14,0)},{'type':'send_pricing_and_introduction_call_email','timestamp':datetime.datetime(2025,10,20,17,26,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,21,16,32,0)},{'type':'send_proposed_call_for_query_email','timestamp':datetime.datetime(2025,10,22,12,32,0)},{'type':'available_timeslots_inbound_email','timestamp':datetime.datetime(2025,10,22,12,58,0)},{'type':'send_meeting_invite_email','timestamp':datetime.datetime(2025,10,22,15,12,0)},{'type':'introduction_meeting','timestamp':datetime.datetime(2025,10,27,13,30,0)},{'type':'send_other_product_details_email','timestamp':datetime.datetime(2025,10,27,17,24,0)},{'type':'send_order_form_email','timestamp':datetime.datetime(2025,12,4,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,12,5,17,1,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,8,18,14,0)}]",12/8/2025 18:14,1,36,14
LEAD-0130,Lead from ManuFact,Emma,Johnson,Sales Director,TechCorp,rachel.martinez@company.com,+1-555-2166,8,354027,1,nonprofit,11/09/2025 10:09,12/02/2025 20:09,7,5000,"['download_email_received','send_introduction_email','demo_request_inbound_email','demo_call','send_pricing_and_licensing_details_email','detailed_demo_request_inbound_email','demo_call','configuration_call','send_followup_email','quote_request_for_licenses_inbound_email','send_quote_response_email','send_followup_email','order_confirmation_inbound_email','send_invoice_email','revised_invoice_request_inbound_email','send_revised_invoice_and_raise_billable_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,27,18,12,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,28,11,51,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,28,16,55,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,10,30,17,30,0)},{'type':'send_pricing_and_licensing_details_email','timestamp':datetime.datetime(2025,11,3,7,56,0)},{'type':'detailed_demo_request_inbound_email','timestamp':datetime.datetime(2025,11,4,18,12,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,11,6,17,30,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,11,7,16,30,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,24,12,11,0)},{'type':'quote_request_for_licenses_inbound_email','timestamp':datetime.datetime(2025,11,28,6,19,0)},{'type':'send_quote_response_email','timestamp':datetime.datetime(2025,11,28,20,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,12,4,9,45,0)},{'type':'order_confirmation_inbound_email','timestamp':datetime.datetime(2025,12,10,15,11,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,11,5,26,0)},{'type':'revised_invoice_request_inbound_email','timestamp':datetime.datetime(2025,12,16,15,15,0)},{'type':'send_revised_invoice_and_raise_billable_email','timestamp':datetime.datetime(2025,12,16,18,40,0)}]",12/16/2025 18:40,1,31,8
LEAD-0131,Lead from TechCorp,John,Davis,Operations Manager,RetailHub,mike.martinez@company.com,+1-555-3595,8,400104,2,profit,11/13/2025 10:09,12/23/2025 21:09,3,50,"['pricing_details_request_inbound_email','send_pricing_details_email','send_followup_email','query_inbound_email','send_query_response_email','demo_request_inbound_email','demo_and_configuration_call','send_invoice_email','send_billable_raised_email']","[{'type':'pricing_details_request_inbound_email','timestamp':datetime.datetime(2025,10,9,21,53,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,13,14,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,10,15,9,1,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,24,1,35,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,24,2,47,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,25,1,6,0)},{'type':'demo_and_configuration_call','timestamp':datetime.datetime(2025,10,29,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,10,31,5,46,0)},{'type':'send_billable_raised_email','timestamp':datetime.datetime(2025,11,6,11,11,0)}]",11/6/2025 23:11,1,27,-13
LEAD-0132,Lead from ConsultGroup,David,Williams,CTO,DataSystems,alex.martinez@company.com,+1-555-6015,3,427389,2,nonprofit,10/12/2025 10:09,11/15/2025 22:09,3,10,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,59,25
LEAD-0133,Lead from TechCorp,Rachel,Rodriguez,VP Sales,HealthInc,lisa.smith@company.com,+1-555-7147,5,352477,1,profit,11/01/2025 10:09,11/21/2025 22:09,18,10000,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,39,19
LEAD-0134,Lead from HealthInc,Alex,Jones,Business Development Manager,GlobalTrade,mike.miller@company.com,+1-555-2718,9,225145,2,nonprofit,11/17/2025 10:09,12/27/2025 17:09,4,250,"['pricing_request_inbound_email','send_pricing_and_introduction_call_email','query_inbound_email','send_proposed_call_for_query_email','available_timeslots_inbound_email','send_meeting_invite_email','introduction_meeting','send_other_product_details_email','send_order_form_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'pricing_request_inbound_email','timestamp':datetime.datetime(2025,10,16,18,14,0)},{'type':'send_pricing_and_introduction_call_email','timestamp':datetime.datetime(2025,10,20,17,26,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,21,16,32,0)},{'type':'send_proposed_call_for_query_email','timestamp':datetime.datetime(2025,10,22,12,32,0)},{'type':'available_timeslots_inbound_email','timestamp':datetime.datetime(2025,10,22,12,58,0)},{'type':'send_meeting_invite_email','timestamp':datetime.datetime(2025,10,22,15,12,0)},{'type':'introduction_meeting','timestamp':datetime.datetime(2025,10,27,13,30,0)},{'type':'send_other_product_details_email','timestamp':datetime.datetime(2025,10,27,17,24,0)},{'type':'send_order_form_email','timestamp':datetime.datetime(2025,12,4,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,12,5,17,1,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,8,18,14,0)}]",12/8/2025 18:14,1,23,-17
